!Grade	Length	Value	Min.mult.	Max.mult.	BoxAlignm.	Box	BoxType	Remarks	Nominal	Actual	Code	Size	x	Size1	Length	Angle	Mat	Grade	No.
38x89	1450	210	1	1	0	0	0	Q202T1	1	0	TP	89	x	38	1450	0			1
38x89	1450	210	1	1	0	0	0	Q202T3	1	0	TP	89	x	38	1450	0			1
38x89	1400	196	1	1	0	0	0	Q107B3	1	0	BP	89	x	38	1400	0			1
38x89	1341	180	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1341	35			1
38x89	1332	177	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1332	35			1
38x89	1291	167	1	1	0	0	0	_	1	0	S	89	x	38	1291	0			1
38x89	1213	147	1	1	0	0	0	_	1	0	S	89	x	38	1213	41			1
38x89	1190	142	1	1	0	0	0	I106H4	1	0	TP	89	x	38	1190	0			1
38x89	1166	136	1	1	0	0	0	mN117S	4	0	S	89	x	38	1166	0			4
38x89	1100	121	1	1	0	0	0	mG105TP	2	0	TP	89	x	38	1100	0			2
38x89	1100	121	1	1	0	0	0	mG106TP	2	0	TP	89	x	38	1100	0			2
38x89	1073	115	1	1	0	0	0	Q107T1	1	0	TP	89	x	38	1073	0			1
38x89	1072	115	1	1	0	0	0	I106H1	1	0	TP	89	x	38	1072	0			1
38x89	1061	113	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1061	35			1
38x89	1052	111	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1052	35			1
38x89	1026	105	1	1	0	0	0	Q202B3	1	0	BP	89	x	38	1026	0			1
38x89	1000	100	1	1	0	0	0	I203B1	1	0	BP	89	x	38	1000	0			1
38x89	1000	100	1	1	0	0	0	I203T1	1	0	TP	89	x	38	1000	0			1
38x89	961	92	1	1	0	0	0	mN117BP	1	0	BP	89	x	38	961	0			1
38x89	961	92	1	1	0	0	0	mN117TP	1	0	TP	89	x	38	961	0			1
38x89	951	90	1	1	0	0	0	I104T	1	0	T	89	x	38	951	0			1
38x89	900	81	1	1	0	0	0	I105T	1	0	T	89	x	38	900	0			1
38x89	900	81	1	1	0	0	0	I106T	1	0	T	89	x	38	900	0			1
38x89	874	76	1	1	0	0	0	mG103S	6	0	S	89	x	38	874	0			6
38x89	874	76	1	1	0	0	0	mG104S	6	0	S	89	x	38	874	0			6
38x89	857	73	1	1	0	0	0	mG107S	11	0	S	89	x	38	857	0			11
38x89	857	73	1	1	0	0	0	mG108S	11	0	S	89	x	38	857	0			11
38x89	853	73	1	1	0	0	0	mG105S	2	0	S	89	x	38	853	0			2
38x89	853	73	1	1	0	0	0	mG106S	2	0	S	89	x	38	853	0			2
38x89	850	72	1	1	0	0	0	I201T	2	0	T	89	x	38	850	0			2
38x89	850	72	1	1	0	0	0	I202T	2	0	T	89	x	38	850	0			2
38x89	804	65	1	1	0	0	0	mG101S	5	0	S	89	x	38	804	0			5
38x89	804	65	1	1	0	0	0	mG102S	5	0	S	89	x	38	804	0			5
38x89	781	61	1	1	0	0	0	mS103S35	1	0	S	89	x	38	781	35			1
38x89	772	60	1	1	0	0	0	mS103S35	1	0	S	89	x	38	772	35			1
38x89	750	56	1	1	0	0	0	I201T	1	0	T	89	x	38	750	0			1
38x89	750	56	1	1	0	0	0	I202T	1	0	T	89	x	38	750	0			1
38x89	670	45	1	1	0	0	0	I104T1	1	0	TP	89	x	38	670	0			1
38x89	635	40	1	1	0	0	0	I202B1	1	0	BP	89	x	38	635	0			1
38x89	562	32	1	1	0	0	0	mG103LDD	1	0	LDD	89	x	38	562	0			1
38x89	562	32	1	1	0	0	0	mG104LDD	1	0	LDD	89	x	38	562	0			1
38x89	562	32	1	1	0	0	0	mG105LDD	1	0	LDD	89	x	38	562	0			1
38x89	562	32	1	1	0	0	0	mG106LDD	1	0	LDD	89	x	38	562	0			1
38x89	562	32	1	1	0	0	0	mG107LDD	6	0	LDD	89	x	38	562	0			6
38x89	562	32	1	1	0	0	0	mG108LDD	6	0	LDD	89	x	38	562	0			6
38x89	524	27	1	1	0	0	0	mG107LDD	1	0	LDD	89	x	38	524	0			1
38x89	524	27	1	1	0	0	0	mG108LDD	1	0	LDD	89	x	38	524	0			1
38x89	510	26	1	1	0	0	0	mG101LDD	1	0	LDD	89	x	38	510	0			1
38x89	510	26	1	1	0	0	0	mG102LDD	1	0	LDD	89	x	38	510	0			1
38x89	501	25	1	1	0	0	0	mS103S35	1	0	S	89	x	38	501	35			1
38x89	492	24	1	1	0	0	0	mS103S35	1	0	S	89	x	38	492	35			1
38x89	385	15	1	1	0	0	0	_	2	0	D	89	x	38	385	0			2
38x89	383	15	1	1	0	0	0	mG103LDD	1	0	LDD	89	x	38	383	0			1
38x89	383	15	1	1	0	0	0	mG104LDD	1	0	LDD	89	x	38	383	0			1
38x89	367	13	1	1	0	0	0	_	1	0	D	89	x	38	367	0			1
38x89	367	13	1	1	0	0	0	_	1	0	D	89	x	38	358	0			1
38x89	367	12	1	1	0	0	0	_	1	0	D	89	x	38	346	0			1
38x89	367	10	1	1	0	0	0	_	1	0	D	89	x	38	316	0			1
38x89	367	9	1	1	0	0	0	_	1	0	D	89	x	38	308	0			1
38x89	367	9	1	1	0	0	0	_	1	0	D	89	x	38	297	0			1
38x89	367	9	1	1	0	0	0	_	1	0	D	89	x	38	295	0			1
38x89	367	8	1	1	0	0	0	_	1	0	D	89	x	38	287	0			1
38x89	286	8	1	1	0	0	0	mG103LDD	1	0	LDD	89	x	38	286	0			1
38x89	286	8	1	1	0	0	0	mG104LDD	1	0	LDD	89	x	38	286	0			1
38x89	284	8	1	1	0	0	0	I201J	10	0	J	89	x	38	284	0			10
38x89	284	8	1	1	0	0	0	I202J	10	0	J	89	x	38	284	0			10
38x89	268	7	1	1	0	0	0	_	1	0	D	89	x	38	268	0			1
38x89	266	7	1	1	0	0	0	mG107LDD	1	0	LDD	89	x	38	266	0			1
38x89	266	7	1	1	0	0	0	mG108LDD	1	0	LDD	89	x	38	266	0			1
38x89	266	7	1	1	0	0	0	_	1	0	D	89	x	38	266	0			1
38x89	266	7	1	1	0	0	0	_	1	0	D	89	x	38	266	0			1
38x89	260	7	1	1	0	0	0	_	1	0	D	89	x	38	260	0			1
38x89	258	7	1	1	0	0	0	_	1	0	D	89	x	38	258	0			1
38x89	254	6	1	1	0	0	0	mG101LDD	1	0	LDD	89	x	38	254	0			1
38x89	254	6	1	1	0	0	0	mG102LDD	1	0	LDD	89	x	38	254	0			1
38x89	254	6	1	1	0	0	0	I104J	3	0	J	89	x	38	254	0			3
38x89	246	6	1	1	0	0	0	_	1	0	D	89	x	38	246	0			1
38x89	241	6	1	1	0	0	0	I104J	1	0	J	89	x	38	241	41			1
38x89	232	5	1	1	0	0	0	mG101LDD	1	0	LDD	89	x	38	232	0			1
38x89	232	5	1	1	0	0	0	mG102LDD	1	0	LDD	89	x	38	232	0			1
38x89	220	5	1	1	0	0	0	mG107LDD	1	0	LDD	89	x	38	220	0			1
38x89	220	5	1	1	0	0	0	mG108LDD	1	0	LDD	89	x	38	220	0			1
38x89	213	5	1	1	0	0	0	_	1	0	D	89	x	38	213	0			1
38x89	210	4	1	1	0	0	0	mG105LDD	1	0	LDD	89	x	38	210	0			1
38x89	210	4	1	1	0	0	0	mG106LDD	1	0	LDD	89	x	38	210	0			1
38x89	200	4	1	1	0	0	0	mG101LDD	1	0	LDD	89	x	38	200	0			1
38x89	200	4	1	1	0	0	0	mG102LDD	1	0	LDD	89	x	38	200	0			1
38x89	200	4	1	1	0	0	0	mG103LDD	2	0	LDD	89	x	38	200	0			2
38x89	200	4	1	1	0	0	0	mG104LDD	2	0	LDD	89	x	38	200	0			2
38x89	200	4	1	1	0	0	0	mG107LDD	1	0	LDD	89	x	38	200	0			1
38x89	200	4	1	1	0	0	0	mG108LDD	1	0	LDD	89	x	38	200	0			1
38x89	195	4	1	1	0	0	0	mS103S35	2	0	S	89	x	38	195	35			2
38x89	190	4	1	1	0	0	0	_	1	0	D	89	x	38	190	0			1
38x89	190	3	1	1	0	0	0	_	1	0	D	89	x	38	183	0			1
